https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1.5915E+12,6/7/20 4:00,LTC/USD,46.78,46.97,45.19,46.71,14882.33611,695153.9195
1.59142E+12,6/6/20 4:00,LTC/USD,46.57,47.14,46.36,46.78,5245.735205,245395.4929
1.59133E+12,6/5/20 4:00,LTC/USD,47.38,47.86,46.2,46.57,6676.513261,310925.2226
1.59124E+12,6/4/20 4:00,LTC/USD,48.04,48.07,46.34,47.38,13379.66494,633928.5247
1.59116E+12,6/3/20 4:00,LTC/USD,45.93,48.05,45.32,48.04,8779.94442,421788.5299
1.59107E+12,6/2/20 4:00,LTC/USD,48.62,49.88,44.06,45.93,16853.90353,774099.789
1.59098E+12,6/1/20 4:00,LTC/USD,46.24,48.97,45.65,48.62,11995.33495,583213.1852
1.5909E+12,5/31/20 4:00,LTC/USD,46.41,47.47,45.13,46.24,18125.53681,838124.8219
1.59081E+12,5/30/20 4:00,LTC/USD,44.45,48.04,44.45,46.41,12850.08249,596372.3285
1.59072E+12,5/29/20 4:00,LTC/USD,44.9,45.01,44.19,44.45,5275.308298,234487.4538
1.59064E+12,5/28/20 4:00,LTC/USD,43.77,45.29,43.77,44.9,635.30553,28525.2183
1.59055E+12,5/27/20 4:00,LTC/USD,42.48,44,42.39,43.77,5439.169857,238072.4646
1.59047E+12,5/26/20 4:00,LTC/USD,42.89,42.9,41.81,42.48,4850.241483,206038.2582
1.59038E+12,5/25/20 4:00,LTC/USD,42.66,43.29,42.39,42.89,5097.519497,218632.6112
1.59029E+12,5/24/20 4:00,LTC/USD,44.28,44.58,41.87,42.66,6790.122425,289666.6227
1.59021E+12,5/23/20 4:00,LTC/USD,44.47,44.57,43.73,44.28,3921.948073,173663.8607
1.59012E+12,5/22/20 4:00,LTC/USD,42.42,44.8,42.42,44.47,7858.784704,349480.1558
1.59003E+12,5/21/20 4:00,LTC/USD,44.15,44.17,41.64,42.42,5090.413439,215935.3381
1.58995E+12,5/20/20 4:00,LTC/USD,45.73,45.89,43.1,44.15,17444.17483,770160.3189
1.58986E+12,5/19/20 4:00,LTC/USD,44.18,46.14,44.18,45.73,14796.08179,676624.8203
1.58977E+12,5/18/20 4:00,LTC/USD,45.7,46.58,44.15,44.18,15079.465,666210.7636
1.58969E+12,5/17/20 4:00,LTC/USD,43.57,45.7,43.43,45.7,12252.29668,559929.9582
1.5896E+12,5/16/20 4:00,LTC/USD,43.41,43.89,42.83,43.57,5914.171212,257680.4397
1.58952E+12,5/15/20 4:00,LTC/USD,43.19,43.86,41.93,43.41,14956.93731,649280.6486
1.58943E+12,5/14/20 4:00,LTC/USD,43.07,43.95,42.52,43.19,8641.328166,373218.9635
1.58934E+12,5/13/20 4:00,LTC/USD,42.45,43.82,42,43.07,10133.17895,436436.0173
1.58926E+12,5/12/20 4:00,LTC/USD,41.84,42.87,41.41,42.45,12676.11538,538101.0978
1.58917E+12,5/11/20 4:00,LTC/USD,41.9,42.88,39.59,41.84,20683.98583,865417.9671
1.58908E+12,5/10/20 4:00,LTC/USD,42.11,43.2,39.99,41.9,13938.05995,584004.7118
1.589E+12,5/9/20 4:00,LTC/USD,48.61,49.1,36.99,42.11,18256.94209,768799.8315
1.58891E+12,5/8/20 4:00,LTC/USD,47.49,48.65,46.48,48.61,19556.59071,950645.8742
1.58882E+12,5/7/20 4:00,LTC/USD,45.85,48.46,45.5,47.49,22480.87315,1067616.666
1.58874E+12,5/6/20 4:00,LTC/USD,46.66,47.58,44.5,45.85,18304.41787,839257.5594
1.58865E+12,5/5/20 4:00,LTC/USD,46.91,47.8,45.95,46.66,6802.133623,317387.5548
1.58856E+12,5/4/20 4:00,LTC/USD,46.76,47.41,45.3,46.91,9325.846861,437475.4762
1.58848E+12,5/3/20 4:00,LTC/USD,49.85,49.85,46,46.76,18556.16868,867686.4474
1.58839E+12,5/2/20 4:00,LTC/USD,47.4,50,46.88,49.85,15351.55864,765275.1984
1.58831E+12,5/1/20 4:00,LTC/USD,46.82,48.3,46.48,47.4,14380.95008,681657.0338
1.58822E+12,4/30/20 4:00,LTC/USD,50.7,50.88,45.81,46.82,42634.67734,1996155.593
1.58813E+12,4/29/20 4:00,LTC/USD,46.02,50.7,45.81,50.7,22148.18154,1122912.804
1.58805E+12,4/28/20 4:00,LTC/USD,43.98,46.49,43.67,46.02,12754.20408,586948.472
1.58796E+12,4/27/20 4:00,LTC/USD,44.89,44.95,43.3,43.98,9726.185449,427757.6361
1.58787E+12,4/26/20 4:00,LTC/USD,44.8,45.38,43.95,44.89,7022.427438,315236.7677
1.58779E+12,4/25/20 4:00,LTC/USD,44.81,45.47,44.17,44.8,3415.939165,153034.0746
1.5877E+12,4/24/20 4:00,LTC/USD,43.54,44.97,43.27,44.81,17935.83065,803704.5714
